Date,Couleur,Resultat,Methode,Mon_elo,Elo_adversaire,Type_partie,Ouverture,Annee,Mois,Jour_semaine,Heure,Diff_elo,Ouverture_principale
2025-08-10 16:54:07,Blancs,Victoire,Abandon,976,793,rapid,Kings Pawn Opening Kings Knight Gunderam Defense,2025,8,Sunday,16,183,Kings Pawn
2025-08-10 17:49:32,Noirs,Victoire,Partie abandonnée,1098,984,rapid,Sicilian Defense Smith Morra Gambit Accepted 4.Nxc3,2025,8,Sunday,17,114,Sicilian Defense
2025-08-11 03:20:44,Blancs,Défaite,Échec et mat,1005,1083,rapid,Four Knights Game Scotch Variation Accepted 5.Nxd4 Bc5 6.Nxc6 bxc6,2025,8,Monday,3,-78,Four Knights
2025-08-11 18:58:01,Blancs,Victoire,Temps écoulé,1072,982,rapid,Sicilian Defense,2025,8,Monday,18,90,Sicilian Defense
2025-08-11 19:17:31,Noirs,Défaite,Partie abandonnée,1013,1076,rapid,Owens Defense 2.d4,2025,8,Monday,19,-63,Owens Defense
2025-08-11 21:27:23,Noirs,Défaite,Échec et mat,965,1039,rapid,Sicilian Defense Nimzowitsch Variation,2025,8,Monday,21,-74,Sicilian Defense
2025-08-11 21:39:10,Blancs,Défaite,Échec et mat,919,962,rapid,Bishops Opening Boi Variation 3.Nf3,2025,8,Monday,21,-43,Bishops Opening
2025-08-11 21:51:12,Blancs,Défaite,Échec et mat,877,906,rapid,Scandinavian Defense Mieses Kotrc Variation 3.Nc3 Qe5 4.Be2,2025,8,Monday,21,-29,Scandinavian Defense
2025-08-12 10:58:00,Noirs,Défaite,Échec et mat,844,921,rapid,Sicilian Defense 2.Nf3,2025,8,Tuesday,10,-77,Sicilian Defense
2025-08-12 11:06:06,Noirs,Victoire,Partie abandonnée,877,839,rapid,Sicilian Defense Old Sicilian Variation 3.Bc4 e6,2025,8,Tuesday,11,38,Sicilian Defense
2025-08-12 12:21:38,Blancs,Victoire,Abandon,906,857,rapid,Ruy Lopez Opening Berlin Defense 4.Bxc6,2025,8,Tuesday,12,49,Ruy Lopez
2025-08-12 13:10:52,Noirs,Défaite,Échec et mat,880,938,rapid,Closed Sicilian Defense Traditional Line,2025,8,Tuesday,13,-58,Closed Sicilian
2025-08-12 13:12:19,Noirs,Défaite,Échec et mat,854,885,rapid,Sicilian Defense,2025,8,Tuesday,13,-31,Sicilian Defense
2025-08-12 13:17:20,Blancs,Défaite,Abandon,830,857,rapid,Scandinavian Defense,2025,8,Tuesday,13,-27,Scandinavian Defense
2025-08-12 13:44:23,Blancs,Défaite,Abandon,809,852,rapid,Scandinavian Defense Mieses Kotrc Variation,2025,8,Tuesday,13,-43,Scandinavian Defense
2025-08-12 13:55:46,Blancs,Défaite,Échec et mat,789,836,rapid,Ruy Lopez Opening Berlin Defense 4.d4 Nxe4,2025,8,Tuesday,13,-47,Ruy Lopez
2025-08-12 15:36:35,Noirs,Défaite,Échec et mat,769,796,rapid,Van t Kruijs Opening 1...c5,2025,8,Tuesday,15,-27,Van t
2025-08-12 16:57:57,Blancs,Victoire,Échec et mat,789,779,rapid,Four Knights Game Spanish Variation,2025,8,Tuesday,16,10,Four Knights
2025-08-12 18:21:42,Noirs,Victoire,Échec et mat,802,620,rapid,Queens Pawn Opening Chigorin Variation,2025,8,Tuesday,18,182,Queens Pawn
2025-08-13 00:15:11,Blancs,Défaite,Abandon,784,811,rapid,Caro Kann Defense Two Knights Attack 3...Nf6,2025,8,Wednesday,0,-27,Caro Kann
2025-08-13 00:23:53,Noirs,Victoire,Échec et mat,802,802,rapid,Sicilian Defense Bowdler Attack 2...e6,2025,8,Wednesday,0,0,Sicilian Defense
2025-08-13 01:18:41,Blancs,Défaite,Échec et mat,802,1572,rapid,Three Knights Opening 3...Bc5,2025,8,Wednesday,1,-770,Three Knights
2025-08-13 11:50:47,Blancs,Défaite,Abandon,788,867,rapid,Kings Pawn Opening Kings Knight Variation,2025,8,Wednesday,11,-79,Kings Pawn
2025-08-13 11:54:53,Noirs,Défaite,Abandon,774,816,rapid,Sicilian Defense Bowdler Attack 2...e6,2025,8,Wednesday,11,-42,Sicilian Defense
2025-08-13 12:03:17,Blancs,Défaite,Échec et mat,758,760,rapid,Sicilian Defense Open...4.Nxd4 d6 5.Nc3 e5 6.Nf3,2025,8,Wednesday,12,-2,Sicilian Defense
2025-08-13 12:15:24,Noirs,Victoire,Abandon,772,745,rapid,Sicilian Defense Smith Morra Gambit 2...cxd4 3.Qxd4 Nc6,2025,8,Wednesday,12,27,Sicilian Defense
2025-08-13 23:31:08,Noirs,Victoire,Échec et mat,784,692,rapid,Pirc Defense Modern Defense Geller System,2025,8,Wednesday,23,92,Pirc Defense
2025-08-13 23:40:42,Noirs,Défaite,Abandon,770,776,rapid,Sicilian Defense,2025,8,Wednesday,23,-6,Sicilian Defense
2025-08-13 23:45:16,Blancs,Victoire,Partie abandonnée,783,772,rapid,Three Knights Opening Steinitz Defense 4.d4 exd4 5.Nxd4 Bg7,2025,8,Wednesday,23,11,Three Knights
